Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"ANT1","GPS Antenna","Pulse ANT8010LL05R1575A Antenna",120.646000,-140.846000,90.000000,top
"ANT2","SMA Connector","SMA_Thru_Hole",122.140000,-62.460000,90.000000,top
"C1","10nF","C_0805_2012Metric",145.025000,-77.965000,180.000000,top
"C2","10nF","C_0805_2012Metric",162.646000,-93.846000,0.000000,top
"C3","47uF","C_0805_2012Metric",145.025000,-81.665000,180.000000,top
"C4","10nF","C_0805_2012Metric",141.700000,-72.800000,-90.000000,top
"C5","10nF","C_0805_2012Metric",155.600000,-113.100000,0.000000,top
"C6","10nF","C_0805_2012Metric",139.846000,-109.596000,180.000000,top
"C7","10nF","C_0805_2012Metric",147.200000,-131.700000,0.000000,top
"C8","10nF","C_0805_2012Metric",145.025000,-84.065000,180.000000,top
"C9","10nF","C_0805_2012Metric",135.246000,-138.246000,0.000000,top
"C10","10nF","C_0805_2012Metric",140.546000,-143.546000,0.000000,top
"C11","2.2uF","C_0805_2012Metric",140.546000,-140.896000,0.000000,top
"C12","10nF","C_0805_2012Metric",140.546000,-138.246000,0.000000,top
"C13","10nF","C_0805_2012Metric",162.321000,-135.871000,0.000000,top
"C14","10nF","C_0805_2012Metric",123.946000,-115.858500,90.000000,top
"C15","10nF","C_0805_2012Metric",137.100000,-121.800000,180.000000,top
"C16","10nF","C_0805_2012Metric",156.500000,-126.100000,-90.000000,top
"C17","10nF","C_0805_2012Metric",156.596000,-93.946000,0.000000,top
"C18","1uF","C_0805_2012Metric",149.846000,-96.139333,180.000000,top
"C19","47uF","C_0805_2012Metric",118.846000,-115.846000,90.000000,top
"C20","10nF","C_0805_2012Metric",121.346000,-115.858500,90.000000,top
"C21","20pF","C_0805_2012Metric",140.300000,-61.350000,-90.000000,top
"C22","36pF","C_0805_2012Metric",137.200000,-61.350000,-90.000000,top
"C23","36pF","C_0805_2012Metric",133.200000,-61.350000,-90.000000,top
"C24","20pF","C_0805_2012Metric",129.300000,-61.350000,-90.000000,top
"C25","10nF","C_0805_2012Metric",155.600000,-110.700000,0.000000,top
"D1","CDBA340L-G Schottky","D_SMA",145.300000,-71.100000,90.000000,top
"D2","Red","D_0805_2012Metric",124.400000,-111.046000,0.000000,top
